especie,vencimiento,estado,marca ex,cantidad nominal compra,precio compra,cantidad nominal venta,precio venta,ultimo,tendencia,variacion %,apertura,maximo,minimo,cierre ant,vol nominal,monto operado ($),cant ope,hora cotizacion
AGRO,24,,,0,"0,000",0,"0,000","22,300",=,"-0,45","22,500","22,500","22,200","22,400",2520,56172,6,17:01:38
AGRO,48,,,464,"21,550",22,"25,500","22,300",=,"-1,11","22,550","22,700","21,900","22,550",265621,5906446,281,17:01:39
ALUA,Cdo,,,0,"0,000",0,"0,000","14,550",=,"-2,68","14,800","14,800","14,500","14,950",175220,2570706,42,16:03:21
ALUA,24,,,0,"0,000",0,"0,000","14,850",-,"-1,00","14,950","14,950","14,850","15,000",1910,28385,2,17:01:38
ALUA,48,,,0,"0,000",7110,"15,200","14,750",=,"-1,34","14,950","15,100","14,300","14,950",951147,14050127,375,17:01:39
APBR,Cdo,,,0,"0,000",0,"0,000","133,000",=,"0,76","130,000","134,200","130,000","132,000",46305,6187057,19,16:00:16
APBR,24,,,0,"0,000",0,"0,000","134,000",+,"2,02","132,500","134,000","132,500","131,350",6300,836250,2,17:01:38
APBR,48,,,150,"120,000",500,"135,000","134,450",-,"1,24","131,800","134,800","130,300","132,800",303525,40481429,532,17:01:39
AUSO,48,,,0,"0,000",80,"118,500","115,400",=,"-1,20","116,750","117,000","114,500","116,800",56027,6490593,183,17:01:39
BHIP,Cdo,,,0,"0,000",0,"0,000","17,750",=,"0,85","18,150","18,150","17,700","17,600",17500,311100,9,16:00:16
BHIP,24,,,0,"0,000",0,"0,000","18,000",-,"0,28","18,000","18,150","18,000","17,950",3689,66552,3,17:01:38
BHIP,48,,,0,"0,000",0,"0,000","18,200",+,"1,39","18,000","18,350","17,600","17,950",802310,14478934,306,17:03:41
BMA,Cdo,,,0,"0,000",0,"0,000","217,250",-,"-5,13","219,000","220,000","217,100","229,000",1342,292746,15,16:01:16
BMA,24,,,0,"0,000",0,"0,000","220,000",=,"-3,08","226,000","226,000","219,000","227,000",328,72578,6,17:01:38
BMA,48,,,1500,"175,000",406,"240,000","219,100",=,"-2,99","225,600","226,000","216,800","225,850",551369,120499529,1186,17:01:39
BOLT,24,,,0,"0,000",0,"0,000","9,350",=,"6,86","9,350","9,350","9,350","8,750",10000,93500,1,17:01:38
BOLT,48,,,0,"0,000",2500,"10,500","9,450",+,"0,43","9,400","9,790","9,150","9,410",183290,1740669,143,17:01:39
BYMA,Cdo,,,0,"0,000",0,"0,000","331,500",=,"-1,03","330,800","332,000","330,500","334,950",3870,1283215,10,16:00:16
BYMA,24,,,0,"0,000",0,"0,000","331,100",-,"2,76","329,000","333,000","329,000","322,200",248,81994,3,17:01:38
BYMA,48,,,150,"321,150",3450,"340,000","331,050",=,"-0,88","334,500","334,500","325,000","334,000",47231,15692050,246,17:04:07
CECO2,Cdo,,,0,"0,000",0,"0,000","19,750",=,"-3,66","20,100","20,100","19,750","20,500",10623,211892,5,16:00:16
CECO2,24,,,0,"0,000",0,"0,000","20,300",=,"-0,49","20,300","20,300","20,300","20,400",334,6780,1,17:01:38
CECO2,48,,,1900,"15,850",5185,"20,700","19,800",=,"-3,41","20,500","20,500","19,600","20,500",115063,2319615,117,17:01:39
CEPU,Cdo,,,0,"0,000",0,"0,000","36,400",=,"-0,55","36,400","36,500","36,200","36,600",24796,902124,7,16:00:16
CEPU,24,,,0,"0,000",0,"0,000","36,500",=,"-0,27","36,600","36,600","36,050","36,600",1959,71329,4,17:01:38
CEPU,48,,,3330,"33,000",421,"37,200","36,250",-,"-0,96","36,500","36,650","36,000","36,600",1009780,36789686,642,17:01:39
COME,Cdo,,,0,"0,000",0,"0,000","4,400",=,"-1,12","4,400","4,450","4,370","4,450",286800,1261666,33,16:03:50
COME,24,,,0,"0,000",0,"0,000","4,380",=,"-2,67","4,380","4,380","4,380","4,500",1000,4380,1,17:01:38
COME,48,,,0,"0,000",20000,"4,750","4,390",-,"-2,23","4,450","4,470","4,380","4,490",1669930,7368013,276,17:01:39
CRES,Cdo,,,0,"0,000",0,"0,000","40,350",+,"2,15","39,000","40,350","39,000","39,500",110,4371,2,16:00:16
CRES,24,,,1200,"40,050",0,"0,000","42,000",=,"5,00","40,500","42,000","40,500","40,000",450,18525,3,17:01:38
CRES,48,,,3700,"40,050",1050,"42,500","40,650",+,"0,99","40,250","41,500","39,800","40,250",629176,25561911,345,17:01:39
CTIO,Cdo,,,0,"0,000",0,"0,000","59,700",+,"3,11","59,000","59,700","58,500","57,900",3584,211357,6,16:00:16
CTIO,48,,,0,"0,000",100,"62,000","59,950",=,"-0,75","61,000","61,500","59,100","60,400",41446,2478750,103,17:01:39
DGCU2,Cdo,,,0,"0,000",0,"0,000","71,750",-,"0,00","70,000","72,200","69,000","71,750",218,15605,4,16:00:16
DGCU2,24,,,0,"0,000",0,"0,000","69,900",-,"-2,92","70,000","71,500","69,700","72,000",2450,172515,9,17:01:38
DGCU2,48,,,0,"0,000",1825,"72,000","69,850",=,"-2,10","71,900","71,900","69,000","71,350",115246,8134483,233,17:02:17
EDN,Cdo,,,1770,"47,200",0,"0,000",,,,,,,,,,, 
EDN,24,,,0,"0,000",0,"0,000","57,700",=,"-1,37","56,000","57,700","56,000","58,500",1141,65141,5,17:01:38
EDN,48,,,0,"0,000",1390,"60,000","57,050",-,"-2,31","59,300","59,450","57,000","58,400",197310,11352716,202,17:01:39
ERAR,Cdo,,,0,"0,000",0,"0,000","15,650",=,"-0,32","15,700","15,700","15,650","15,700",62400,978725,13,16:00:16
